index,angle,X,Y,Z,Total_in_Debye
18,75,-0.8426,2.5315,-3.5523,4.4427
18,-90,0.4248,4.0449,-3.5881,5.4236
18,90,-3.1745,1.5115,-4.0322,5.3498
19,0,2.9335,1.0535,-1.7777,3.5882
19,-105,1.2485,0.9458,-3.3107,3.6625
19,105,2.7665,0.3252,-1.9776,3.4162
19,-120,2.9028,0.9199,-1.5732,3.4275
19,120,2.9161,0.9133,-2.1315,3.7257
19,-15,1.9887,-0.3232,-2.1769,2.9662
19,15,1.7537,0.5096,-3.4585,3.9111
19,135,0.5423,1.0206,-5.1398,5.2681
19,-135,3.1307,0.4814,-0.9440,3.3051
19,-150,4.0373,0.9109,-2.8804,5.0424
19,150,2.9548,0.0784,-4.0771,5.0359
19,-165,3.3905,0.6752,-2.9279,4.5303
19,165,2.8867,0.2043,-3.2927,4.3837
19,180,3.2831,0.2757,-2.0929,3.9032
19,-30,3.5313,1.1759,-3.8815,5.3776
19,30,2.5014,0.2614,-3.7904,4.5489
19,-45,3.2809,0.8463,-2.6711,4.3145
19,45,2.8116,0.2387,-3.2904,4.3346
19,-60,2.8132,0.5519,-2.1270,3.5697
19,60,3.1520,0.4048,-1.2470,3.4138
19,-75,2.7471,0.2906,-2.9860,4.0679
19,75,3.2993,0.7521,-2.6469,4.2961
19,-90,2.6131,0.2464,-3.8448,4.6553
19,90,3.4899,0.9557,-3.2819,4.8850
20,0,-0.8025,2.8251,-1.8634,3.4782
20,-105,1.4922,2.5790,-2.2317,3.7226
20,105,-0.2365,3.1817,-1.8914,3.7090
20,-120,1.5411,2.0965,-2.2128,3.4156
20,120,-0.4750,2.7438,-1.9135,3.3787
20,-15,-2.1411,2.7221,-1.8479,3.9254
20,15,-1.3464,3.4362,-1.4634,3.9701
20,135,-1.7525,2.1012,0.5054,2.7824
20,-135,2.4222,1.1762,0.3815,2.7196
20,-150,2.8075,2.6465,-3.8115,5.4234
20,150,-1.3729,3.9567,-3.4596,5.4323
20,-165,1.9734,3.7663,-6.5602,7.8177
20,165,-0.1697,4.8253,-6.0242,7.7203
20,180,1.3248,3.1047,-4.7283,5.8096
20,-30,-3.2654,1.9410,-2.5418,4.5706
20,30,-0.1614,4.0500,-2.1549,4.5905
20,-45,-4.0105,1.5563,-4.0994,5.9424
20,45,0.7770,4.7888,-3.4414,5.9481
20,-60,-5.2098,2.0863,-2.4949,6.1416
20,60,0.4952,5.8754,-1.9824,6.2206
20,-75,1.8910,0.4871,0.2665,1.9708
20,75,-0.8387,1.4416,1.7862,2.4438
20,-90,1.7261,2.1118,-1.4841,3.1051
20,90,-0.8945,2.6180,-1.1190,2.9843
21,0,1.5719,1.2056,-1.6431,2.5737
21,-105,2.2725,2.8770,-3.9115,5.3611
21,105,1.1366,3.4664,-3.9233,5.3573
21,-120,0.7069,3.6927,-5.4296,6.6042
21,120,2.4720,2.9246,-5.0831,6.3641
21,-15,0.8635,0.8524,-1.9026,2.2565
21,15,2.6861,1.1522,-0.5155,2.9679
21,135,1.8743,1.6511,-5.0083,5.5966
21,-135,0.4431,2.3500,-5.1649,5.6916
21,-150,0.9265,0.7948,-5.3857,5.5223
21,150,0.2748,1.1338,-5.4936,5.6161
21,-165,-0.9100,2.5312,-2.7218,3.8267
21,165,2.7322,0.7312,-2.6006,3.8422
21,180,2.7367,0.5887,-1.9079,3.3876
21,-30,3.6732,0.8484,-3.4754,5.1274
21,30,2.1791,1.9212,-1.6525,3.3422
21,-45,3.3091,2.1265,-1.5337,4.2218
21,45,2.7013,2.1869,-2.2176,4.1228
21,-60,2.6047,1.7745,-2.4564,3.9959
21,60,-0.0522,3.2062,-2.7760,4.2414
21,-75,0.3759,3.2158,4.9430,5.9089
21,75,1.7409,2.6730,2.9666,4.3562
21,-90,2.0769,2.5689,-2.1021,3.9155
21,90,0.9103,3.1627,-2.2333,3.9773
22,0,-0.8781,2.8998,-1.9470,3.6014
22,-105,3.7322,-0.3491,-2.2211,4.3571
22,105,-0.3489,-0.0608,-1.7620,1.7972
22,-120,3.6420,-0.3852,-3.1636,4.8395
22,120,0.7153,-1.0311,-0.6781,1.4264
22,-15,-1.1326,2.4854,-1.9149,3.3357
22,15,-1.4704,2.2246,-2.0107,3.3397
22,135,0.7293,0.0172,-2.3051,2.4178
22,-135,3.7199,-0.2724,-1.1433,3.9011
